"","bottle","temp","contact","enjoyment","bitterness"
"1",1,"cold","no",64,"2"
"2",2,"cold","no",52,"3"
"3",3,"cold","yes",53,"3"
"4",4,"cold","yes",33,"4"
"5",5,"warm","no",23,"4"
"6",6,"warm","no",40,"4"
"7",7,"warm","yes",17,"5"
"8",8,"warm","yes",10,"5"
"9",9,"cold","no",83,"1"
"10",10,"cold","no",78,"2"
"11",11,"cold","yes",86,"1"
"12",12,"cold","yes",50,"3"
"13",13,"warm","no",70,"2"
"14",14,"warm","no",49,"3"
"15",15,"warm","yes",10,"5"
"16",16,"warm","yes",30,"4"
"17",17,"cold","no",64,"2"
"18",18,"cold","no",50,"3"
"19",19,"cold","yes",58,"3"
"20",20,"cold","yes",77,"2"
"21",21,"warm","no",20,"5"
"22",22,"warm","no",19,"5"
"23",23,"warm","yes",27,"4"
"24",24,"warm","yes",38,"4"
"25",25,"cold","no",54,"3"
"26",26,"cold","no",73,"2"
"27",27,"cold","yes",52,"3"
"28",28,"cold","yes",68,"2"
"29",29,"warm","no",43,"3"
"30",30,"warm","no",63,"2"
"31",31,"warm","yes",16,"5"
"32",32,"warm","yes",42,"3"
"33",33,"cold","no",74,"2"
"34",34,"cold","no",55,"3"
"35",35,"cold","yes",39,"4"
"36",36,"cold","yes",59,"3"
"37",37,"warm","no",52,"3"
"38",38,"warm","no",59,"3"
"39",39,"warm","yes",42,"3"
"40",40,"warm","yes",45,"3"
"41",41,"cold","no",54,"3"
"42",42,"cold","no",70,"2"
"43",43,"cold","yes",46,"3"
"44",44,"cold","yes",63,"2"
"45",45,"warm","no",68,"2"
"46",46,"warm","no",40,"4"
"47",47,"warm","yes",12,"5"
"48",48,"warm","yes",27,"4"
"49",49,"cold","no",87,"1"
"50",50,"cold","no",81,"1"
"51",51,"cold","yes",69,"2"
"52",52,"cold","yes",71,"2"
"53",53,"warm","no",78,"2"
"54",54,"warm","no",57,"3"
"55",55,"warm","yes",68,"2"
"56",56,"warm","yes",51,"3"
"57",57,"cold","no",75,"2"
"58",58,"cold","no",68,"2"
"59",59,"cold","yes",61,"2"
"60",60,"cold","yes",60,"3"
"61",61,"warm","no",49,"3"
"62",62,"warm","no",55,"3"
"63",63,"warm","yes",58,"3"
"64",64,"warm","yes",33,"4"
"65",65,"cold","no",88,"1"
"66",66,"cold","no",71,"2"
"67",67,"cold","yes",53,"3"
"68",68,"cold","yes",72,"2"
"69",69,"warm","no",53,"3"
"70",70,"warm","no",62,"2"
"71",71,"warm","yes",28,"4"
"72",72,"warm","yes",35,"4"
